ascl_id	credit	described_in	citation_method
1011.014	Freytag, Bernd; Steffen, Matthias; Wedemeyer-Böhm, Sven; Ludwig, Hans-Günter; Leenaarts, Jorrit; Schaffenberger, Werner; Allard, France; Chiavassa, Andrea; Höfner, Susanne; Kamp, Inga; Steiner, Oskar	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2007AN....328..323S";}	
1011.015	Dexter, Jason; Agol, Eric	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009ApJ...696.1616D";}	http://adsabs.harvard.edu/abs/2009ApJ...696.1616D
1011.017	Agol, Eric	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2002ApJ...579..430A";}	http://adsabs.harvard.edu/abs/2002ApJ...579..430A
1011.018	Schlawin, Everett; Agol, Eric; Walkowicz, Lucianne; Covey, Kevin; Lloyd, James P.		http://adsabs.harvard.edu/abs/2010ApJ...722L..75S
1011.019	Becciani, U.; Antonuccio, V.; Comparato, M.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2007CoPhC.176..211B";}	
1011.020	Becciani, U.; Costa, A.; Antonuccio-Delogu, V.; Caniglia, G.; Comparato, M.; Gheller, C.; Jin, Z.; Krokos, M.; Massimino, P.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010PASP..122..119B";}	
1011.021	Liesenborgs, J.; de Rijcke, S.; Dejonghe, H.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2006MNRAS.367.1209L";}	
1011.022	The yt project	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011ApJS..192....9T";}	http://adsabs.harvard.edu/abs/2011ApJS..192....9T
1011.023	Ali-Haïmoud, Yacine; Hirata, Christopher M.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011PhRvD..83d3513A";}	http://adsabs.harvard.edu/abs/2011PhRvD..83d3513A
1101.002	Price, Daniel J.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2012JCoPh.231..759P";}	
1101.003	Laursen, Peter	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010arXiv1012.2886L";}	http://adsabs.harvard.edu/abs/2011ApJ...728...52L
1101.004	Bouland, Adam; Easther, Richard; Rosenfeld, Katherine	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011JCAP...05..016B";}	
1101.005	Piner, B. Glenn; Stone, James M.; Teuben, Peter	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1995ApJ...449..508P";}	
1101.006	Ziegler, U.	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2005A%26A...435..385Z";}	
