id,ascl_id,bibcode,num_citations,credit,num_commas,num_semicolons,type
1576,1612.003,2017MNRAS.466.1513R,20,"Robotham, A.S.G.; Taranu, D.; Tobar, R.",3,2,described_in
1577,1612.004,2016arXiv161108586R,20,"Robotham, A.S.G.; Taranu, D.; Tobar, R.",3,2,described_in
1578,1612.005,2017MNRAS.466.1513R,20,"Robotham, A.S.G.; Taranu, D.; Tobar, R.",3,2,described_in
1591,1612.017,2010ApJS..186..457S,44,"Schive, Hsi-Yu; Tsai, Yu-Chih; Chiueh, Tzihong",3,2,described_in
1592,1612.017,2011IAUS..270..401S,0,"Schive, Hsi-Yu; Tsai, Yu-Chih; Chiueh, Tzihong",3,2,described_in
1622,1702.007,1978ApJ...225.1021W,568,"Weaver, T.A.; Zimmerman, G.B.; Woosley, S.E.",3,2,described_in
1623,1702.007,1978ApJ...225.1021W,568,"Weaver, T.A.; Zimmerman, G.B.; Woosley, S.E.",3,2,citation_method
1624,1702.008,2011NIMPA.626S.185T,10,"Tsirigotis, A. G.; Leisos, A.; Tzamarias, S. E.",3,2,described_in
1625,1702.008,2017arXiv170200945T,0,"Tsirigotis, A. G.; Leisos, A.; Tzamarias, S. E.",3,2,described_in
1628,1702.012,2016MNRAS.456.1332F,33,"Chandra, Mani; Foucart, Francois; Gammie, Charles F.",3,2,described_in
1640,1703.012,2017MNRAS.468.2345D,9,"Drakos, Nicole E.; Taylor, James E.; Benson, Andrew J.",3,2,citation_method
1653,1705.014,2017AJ....153..253M,14,"Safdi, Benjamin R.; Rodd, Nicholas L.; Mishra-Sharma, Siddharth",3,2,described_in
1654,1705.014,2017AJ....153..253M,14,"Safdi, Benjamin R.; Rodd, Nicholas L.; Mishra-Sharma, Siddharth",3,2,citation_method
1678,1705.004,2017ApJ...839....4D,8,"Daylan, Tansu; Portillo, K. N. Stephen; Finkbeiner, Douglas P.",3,2,described_in
1690,1706.010,2016SPIE.9911E..19D,1,"Savransky, Dmitry; Delacroix, Christian; Garrett, Daniel",3,2,described_in
1694,1707.003,2019MNRAS.482.1017B,6,"Barragán, Oscar; Gandolfi, Davide; Antoniciello, Giuliano",3,2,described_in
1695,1707.003,2019MNRAS.482.1017B,6,"Barragán, Oscar; Gandolfi, Davide; Antoniciello, Giuliano",3,2,citation_method
1696,1712.012,2014PDU.....5...18B,54,"Backović, Mihailo; Kong, Kyoungchul; McCaskey, Mathew",3,2,described_in
1701,1708.024,2016A&C....16...79C,1,"Chiu, I-Non; Desai, Shantanu; Liu, Jiayi",3,2,described_in
1719,1711.002,2017arXiv170606179R,8,"Roukema, Boudewijn F.; Ostrowski, Jan J.; Borkowska, Justyna",3,2,described_in
1720,1711.002,2017arXiv170606179R,8,"Roukema, Boudewijn F.; Ostrowski, Jan J.; Borkowska, Justyna",3,2,citation_method
1721,1708.010,2015A&A...575A..36M,48,"Maxted, P. F. L.; Serenelli, A. M.; Southworth, J.",3,2,described_in
1736,1708.015,2012A&A...539A.148B,243,"Birnstiel, T.; Klahr, H.; Ercolano, B.",3,2,described_in
