ascl_id	credit	num_citations	bibcode
1104.011	Stetson, Peter B.	5	2011ascl.soft04011S
1105.001	Taylor, Mark	2	2011ascl.soft05001T
1105.003	Cautun, Marius C.; van de Weygaert, Rien	17	2011ascl.soft05003C
1105.005	N-Body Shop	1	2011ascl.soft05005N
1105.011	Shamir, Lior	6	2011ascl.soft05011S
1105.013	Challinor, Anthony; Lewis, Antony	2	2011ascl.soft05013C
1105.014	van Straten, Willem; Demorest, Paul; Khoo, Jonathan; Keith, Mike; Hotan, Aidan; et al.	2	2011ascl.soft05014V
1106.002	Prsa, Andrej; Matijevic, Gal; Latkovic, Olivera; Vilardell, Francesc; Wils, Patrick	14	2011ascl.soft06002P
1106.007	Sault, Robert J.; Teuben, Peter; Wright, Melvyn C. H	12	2011ascl.soft06007S
1106.008	Bertschinger, Edmund	1	2011ascl.soft06008B
1106.009	MacNeice, Peter; Olson, Kevin M.; Mobarry, Clark; de Fainchtein, Rosalinda; Packer, Charles	1	2011ascl.soft06009M
1106.010	da Cunha, Elisabete; Charlot, Stéphane	5	2011ascl.soft06010D
1106.011	Maccione, Luca; Evoli, Carmelo; Gaggero, Daniele; Grasso, Dario	2	2011ascl.soft06011M
1106.013	Hojjati, A.; Zhao, G.-B.; Pogosian, L.; Silvestri, A.	1	2011ascl.soft06013H
1106.014	Gazak, J. Zachary; Johnson, John A.; Tonry, John; Eastman, Jason; Mann, Andrew W.; Agol, Eric	3	2011ascl.soft06014G
1106.016	Wichmann, Rainer	7	2011ascl.soft06016W
1106.020	Blas, Diego; Lesgourgues, Julien; Tram, Thomas	3	2011ascl.soft06020B
1106.025	Lewis, Antony; Bridle, Sarah	2	2011ascl.soft06025L
1106.026	Seager, Sara; Sasselov, Dimitar D.; Scott, Douglas	2	2011ascl.soft06026S
1107.001	Blondin, Stéphane; Tonry, John L.	5	2011ascl.soft07001B
1107.002	Babusiaux, Carine; Sartoretti, Paola; Leclerc, Nicolas; Chéreau, Fabien	2	2011ascl.soft07002B
1107.005	Freeman, Peter; Nguyen, Dan; Doe, Stephen; Siemiginowska, Aneta	1	2011ascl.soft07005F
1107.007	Portegies Zwart, Simon	7	2011ascl.soft07007P
1107.008	Eggleton, P. P.; Tout, Christopher; Pols, Onno; Izzard, Rob; Eldridge, John; Lesaffre, Pierre; Stancliffe, Richard; Church, Ross; Lau, Herbert	3	2011ascl.soft07008E
1107.011	Schombert, James	4	2011ascl.soft07011S
1107.012	Brinch, C.; Hogerheijde, M. R.	1	2011ascl.soft07012B
1107.013	International Consortium Of Scientists	5	2011ascl.soft07013I
1107.014	Williams, Jonathan P.; de Geus, Eugene J.; Blitz, Leo	1	2011ascl.soft07014W
1107.015	Kuepper, A. H. W.; Maschberger, Th.; Kroupa, P.; Baumgardt, H.	1	2011ascl.soft07015K
1107.016	Lorimer, D. R.	8	2011ascl.soft07016L
1107.017	Ransom, Scott	15	2011ascl.soft07017R
1107.018	Górski, K. M.; Hivon, Eric	6	2011ascl.soft07018G
1108.001	Kaiser, Nick	2	2011ascl.soft08001K
1108.003	Calabretta, M. R.	3	2011ascl.soft08003C
1108.004	Benson, Andrew	1	2011ascl.soft08004B
1108.006	Cid Fernandes, R.; Mateus, A.; Sodré, L.; Stasinska, G.; Gomes, J. M.	6	2011ascl.soft08006C
1108.007	Fioc, Michel; Le Borgne, Damien; Rocca-Volmerange, Brigitte	1	2011ascl.soft08007F
1108.009	Arnouts, S.; Ilbert, O.	29	2011ascl.soft08009A
1108.010	Bolzonella, Micol; Miralles, Joan-Marc; Pelló, Roser	3	2011ascl.soft08010B
1108.011	Benítez, Narciso	3	2011ascl.soft08011B
1108.013	Blinnikov, Sergei I.; Bartunov, Oleg S.	1	2011ascl.soft08013B
1108.016	Dullemond, C. P.	3	2011ascl.soft08016D
1108.018	Ocvirk, P.	1	2011ascl.soft08018O
1109.001	Ginsburg, Adam; Mirocha, Jordan	62	2011ascl.soft09001G
1109.002	Christensen-Dalsgaard, J.	4	2011ascl.soft09002C
1109.003	Baes, Maarten; Dejonghe, Herwig; Davies, Jonathan	1	2011ascl.soft09003B
1109.005	Challinor, Anthony; Chon, Gayoung; Colombi, Stéphane; Hivon, Eric; Prunet, Simon; Szapudi, István.	1	2011ascl.soft09005C
1109.006	Feroz, F.; Hobson, M. P.; Bridges, M.	2	2011ascl.soft09006F
1109.009	Pitrou, Cyril	1	2011ascl.soft09009P
1109.010	Tollerud, Erik	2	2011ascl.soft09010T
1109.012	Sharma, Sanjib; Steinmetz, Matthias	1	2011ascl.soft09012S
1109.015	Mink, Jessica	4	2011ascl.soft09015M
1109.018	Allen, R. J.; Ekers, R. D.; Terlouw, J. P.; Vogelaar, M. G. R.	1	2011ascl.soft09018A
1109.020	Hillier, John	1	2011ascl.soft09020H
1109.021	Hubeny, Ivan; Lanz, Thierry	2	2011ascl.soft09021H
