ascl_id	credit	num_commas	num_semicolons	num_citations
1010.051	Barnes, Joshua; Hut, Piet; Teuben, Peter	3	2	147
1010.053	Khoury, J.; Wyman, M.	2	1	90
1010.054	Battefeld, Diana; Battefeld, Thorsten; Wesley, Daniel H.; Wyman, Mark	4	3	16
1010.057	Krist, John; Hook, Richard; Stoehr, Felix	3	2	31
1010.058	Wetzstein, M.; Nelson, Andrew F.; Naab, T.; Burkert, A.	4	3	93
1010.059	Morel, Pierre; Lebreton, Yveline	2	1	130
1010.060	Brandenburg, Axel; Dobler, Wolfgang	2	1	18
1010.061	Bertin, Emmanuel; Marmo, Chiara	2	1	9
1010.062	Marmo, Chiara; Bertin, Emmanuel	2	1	21
1010.063	Bertin, Emmanuel	1	0	431
1010.064	Bertin, E.; Arnouts, S.	2	1	6670
1010.065	Chu, Yi-Zen	1	0	33
1010.066	Bertin, Emmanuel; Fouqué, Pascal	2	1	46
1010.067	Bertin, Emmanuel	1	0	44
1010.068	Bertin, Emmanuel	1	0	654
1010.069	Marmo, Chiara; Bertin, Emmanuel	2	1	21
1010.070	Coe, Dan	1	0	42
1010.071	Shirokov, Alexander	1	0	1
1010.072	O'Shea, Brian W.; Bryan, Greg; Bordner, James; Norman, Michael L.; Abel, Tom; Harkness, Robert; Kritsuk, Alexei	7	6	516
1010.075	van der Tak, F. F. S.; Black, J. H.; Schöier, F. L.; Jansen, D. J.; van Dishoeck, E. F.	5	4	797
1010.076	Hut, Piet; McMillan, Steve; Makino, Jun; Portegies Zwart, Simon	4	3	12
1010.077	Schöier, Fredrik; van der Tak, Floris; van Dishoeck, Ewine; Black, John	4	3	821
1010.078	Becciani, U.; Antonuccio-Delogu, V.; Gheller, C.; Calori, L.; Buonomo, F.; Imboden, S.	6	5	3
1010.079	Geant4 Collaboration	0	0	2338
1010.080	Shirokov, Alexander; Bertschinger, Edmund	2	1	8
1010.081	Weidenspointner, G.; Harris, M.; Ferguson, C.; Sturner, S.; Teegarden, B.; Wunderer, C.	6	5	38
1010.082	Fryxell, B.; Olson, K.; Ricker, P.; Timmes, F. X.; Zingale, M.; Lamb, D. Q.; MacNeice, P.; Rosner, R.; Truran, J. W.; Tufo, H.	10	9	17
1010.083	Paxton, Bill; Bildsten, Lars; Dotter, Aaron; Herwig, Falk; Lesaffre, Pierre; Timmes, Frank	6	5	1248
1010.084	Baiotti, Luca; Giacomazzo, Bruno; Hawke, Ian; et al.	3	3	362
1010.085	Schombert, James	1	0	0
1011.001	Barnes, Joshua E.; Hibbard, John E.	2	1	53
1011.002	Stetson, P. B.; Pancino, E.	2	1	169
1011.003	Le Borgne, Damien; Rocca-Volmerange, Brigitte	2	1	137
1011.004	Moralejo, R. A.; Gaug, M.; Carmona, E.; Colin, P.; Delgado, C.; Lombardi, S.; Mazin, D.; Scalzotto, V.; Sitarek, J.; Tescaro, D.	10	9	50
1011.005	Copi, Craig J.; Vachaspati, Tanmay	2	1	12
1011.006	Brescia, Massimo; Longo, Giuseppe; Djorgovski, George S.; Cavuoti, Stefano; D'Abrusco, Raffaele; Donalek, Ciro; di Guido, Alessandro; Fiore, Michelangelo; Garofalo, Mauro; Laurino, Omar; Mahabal, Ashish; Manna, Francesco; Nocella, Alfonso; D'Angelo, Giovanni; Paolillo, Maurizio	15	14	7
1011.007	Teyssier, Romain	1	0	1069
1011.008	Hynes, R. I.	1	0	0
1011.009	Tomasik, Boris	1	0	18
1011.010	de Oliveira-Costa, Angelica; Tegmark, Max; Gaensler, B. M.; Jonas, Justin; Landecker, T. L.; Reich, Patricia	6	5	235
1011.011	Kainulainen, Kimmo; Marra, Valerio	2	1	39
1011.012	Frolov, Andrei V.	1	0	60
1011.014	Freytag, Bernd; Steffen, Matthias; Wedemeyer-Böhm, Sven; Ludwig, Hans-Günter; Leenaarts, Jorrit; Schaffenberger, Werner; Allard, France; Chiavassa, Andrea; Höfner, Susanne; Kamp, Inga; Steiner, Oskar	11	10	19
1011.015	Dexter, Jason; Agol, Eric	2	1	101
1011.017	Agol, Eric	1	0	28
1011.018	Schlawin, Everett; Agol, Eric; Walkowicz, Lucianne; Covey, Kevin; Lloyd, James P.	5	4	23
1011.019	Becciani, U.; Antonuccio, V.; Comparato, M.	3	2	6
1011.020	Becciani, U.; Costa, A.; Antonuccio-Delogu, V.; Caniglia, G.; Comparato, M.; Gheller, C.; Jin, Z.; Krokos, M.; Massimino, P.	9	8	16
1011.021	Liesenborgs, J.; de Rijcke, S.; Dejonghe, H.	3	2	68
1011.022	The yt project	0	0	498
